库存ID,物品名称,物品单位,当前数量,最小数量,最大数量,最后采购时间,最后采购数量,最后消耗时间,最后消耗数量,是否激活,备注
1,大米,千克,50,10,100, 2025-01-01 08:00:00,20, 2025-01-05 12:00:00,5,1,用于餐厅主食制作
2,食用油,升,30,5,60, 2025-01-03 09:00:00,10, 2025-01-08 15:00:00,3,1,烹饪常用
3,面粉,千克,40,8,80, 2025-01-05 10:00:00,15, 2025-01-10 16:00:00,4,1,制作面点
4,猪肉,千克,25,5,50, 2025-01-07 11:00:00,8, 2025-01-12 17:00:00,2,1,热菜食材
5,牛肉,千克,18,3,35, 2025-01-09 12:00:00,6, 2025-01-14 18:00:00,1.5,1,高档菜品用料
6,鸡肉,千克,22,4,45, 2025-01-11 13:00:00,7, 2025-01-16 19:00:00,1.8,1,多种菜品适用
7,鸡蛋,个,100,20,200, 2025-01-13 14:00:00,30, 2025-01-18 20:00:00,8,1,早餐及烹饪常用
8,西红柿,千克,35,7,70, 2025-01-15 15:00:00,12, 2025-01-20 21:00:00,3.5,1,配菜及汤品食材
9,土豆,千克,42,8,85, 2025-01-17 16:00:00,14, 2025-01-22 22:00:00,4.2,1,家常菜食材
10,黄瓜,千克,28,5,55, 2025-01-19 17:00:00,9, 2025-01-24 23:00:00,2.8,1,凉拌及配菜
11,胡萝卜,千克,32,6,65, 2025-01-21 18:00:00,10, 2025-01-26 00:00:00,3.2,1,营养配菜
12,洋葱,千克,26,5,52, 2025-01-23 19:00:00,8, 2025-01-28 01:00:00,2.6,1,西餐及中餐调料
13,青椒,千克,20,4,40, 2025-01-25 20:00:00,7, 2025-01-30 02:00:00,2,1,增加菜品色彩
14,红椒,千克,15,3,30, 2025-01-27 21:00:00,5, 2025-01-31 03:00:00,1.5,1,点缀菜品
15,白菜,千克,45,9,90, 2025-01-29 22:00:00,15, 2025-02-01 04:00:00,4.5,1,冬季常见菜品
16,香菇,千克,12,2,25, 2025-01-31 23:00:00,4, 2025-02-03 05:00:00,1.2,1,提升菜品鲜味
17,木耳,千克,8,1.5,16, 2025-02-02 00:00:00,3, 2025-02-05 06:00:00,0.8,1,凉拌及配菜
18,生抽,瓶,20,4,40, 2025-02-04 01:00:00,7, 2025-02-07 07:00:00,2,1,常用调味料
19,老抽,瓶,15,3,30, 2025-02-06 02:00:00,5, 2025-02-09 08:00:00,1.5,1,调色调味料
20,料酒,瓶,18,3.5,36, 2025-02-08 03:00:00,6, 2025-02-11 09:00:00,1.8,1,去腥调味料
21,醋,瓶,22,4.5,44, 2025-02-10 04:00:00,8, 2025-02-13 10:00:00,2.2,1,酸味调味料
22,盐,袋,30,6,60, 2025-02-12 05:00:00,10, 2025-02-15 11:00:00,3,1,基础调味料
23,糖,袋,25,5,50, 2025-02-14 06:00:00,9, 2025-02-17 12:00:00,2.5,1,调味及提鲜
24,鸡精,盒,18,3.5,36, 2025-02-16 07:00:00,6, 2025-02-19 13:00:00,1.8,1,增鲜调味料
25,食用油（小瓶）,瓶,10,2,20, 2025-02-18 08:00:00,4, 2025-02-21 14:00:00,1,1,小份包装
26,餐巾纸,包,50,10,100, 2025-02-20 09:00:00,15, 2025-02-23 15:00:00,5,1,餐厅日常使用
27,一次性筷子,包,40,8,80, 2025-02-22 10:00:00,12, 2025-02-25 16:00:00,4,1,供顾客使用
28,洗洁精,瓶,15,3,30, 2025-02-24 11:00:00,5, 2025-02-27 17:00:00,1.5,1,餐具清洁
29,垃圾袋,卷,20,4,40, 2025-02-26 12:00:00,7,2025 - 02 - 29 18:00:00,2,1,垃圾收纳
30,纸杯,包,35,7,70, 2025-02-28 13:00:00,10, 2025-03-01 19:00:00,3.5,1,供顾客饮水
